airport_iata,airport_name,city_iata,utc_offset,timezone_id
EOH,Medellin Enrique Olaya Herrerra Apt,MDE,-05:00,America/Bogota
EOI,Eday,EOI,+00:00,Europe/London
EOK,Keokuk Municipal,EOK,-06:00,America/Chicago
EOR,El Dorado,EOR,-04:00,America/Caracas
EOS,Neosho Hugh Robinson,EOS,-06:00,America/Chicago
EOZ,Elorza,EOZ,-04:00,America/Caracas
EPA,El Palomar,EPA,-03:00,America/Argentina/Buenos_Aires
EPG,Weeping Water Browns,EPG,-06:00,America/Chicago
EPH,Ephrata Municipal,EPH,-08:00,America/Los_Angeles
EPI,Epk,EPI,+11:00,Pacific/Efate
EPK,Episkopi Off-Line Point,EPK,+02:00,Asia/Nicosia
EPL,Epinal Mirecourt,EPL,+01:00,Europe/Paris
EPN,Epena,EPN,+01:00,Africa/Brazzaville
EPR,Esperance,EPR,+08:00,Australia/Perth
EPS,Samana El Portillo,AZS,-04:00,America/Santo_Domingo
EPT,Eliptamin,EPT,+10:00,Pacific/Port_Moresby
EPU,Parnu,EPU,+02:00,Europe/Tallinn
EQS,Esquel,EQS,-03:00,America/Argentina/Buenos_Aires
ERA,Erigavo,ERA,+03:00,Africa/Mogadishu
ERB,Ernabella,ERB,+09:30,Australia/Adelaide
ERC,Erzincan,ERC,+03:00,Europe/Istanbul
ERD,Berdiansk,ERD,+02:00,Europe/Zaporozhye
ERE,Erave,ERE,+10:00,Pacific/Port_Moresby
ERF,Erfurt,ERF,+01:00,Europe/Berlin
ERG,Yerbogachen,ERG,+08:00,Asia/Irkutsk
ERH,Errachidia Moulay Ali Cherif,ERH,+01:00,Africa/Casablanca
ERI,Erie,ERI,-05:00,America/New_York
ERL,Erenhot Saiwusu Intl,ERL,+08:00,Asia/Shanghai
ERM,Erechim,ERM,-03:00,America/Araguaina
ERN,Eirunepe Amaury Feitosa Tomaz,ERN,-05:00,America/Rio_Branco
ERO,Eldred Rock Coast Guard Heliport,ERO,-09:00,America/Anchorage
ERQ,Elrose Mine,ERQ,+10:00,Australia/Brisbane
ERR,Errol,ERR,-05:00,America/New_York
ERS,Windhoek Eros Apt,WDH,+02:00,Africa/Windhoek
ERT,Erdenet,ERT,+08:00,Asia/Ulaanbaatar
ERU,Erume,ERU,+10:00,Pacific/Port_Moresby
ERV,Kerrville Municipal,ERV,-06:00,America/Chicago
ERZ,Erzurum,ERZ,+03:00,Europe/Istanbul
ESA,Esa'ala,ESA,+10:00,Pacific/Port_Moresby
ESB,Ankara,ANK,+03:00,Europe/Istanbul
ESC,Escanaba,ESC,-05:00,America/New_York
ESD,Eastsound Orcas Island,ESD,-08:00,America/Los_Angeles
ESE,Ensenada,ESE,-08:00,America/Santa_Isabel
ESF,Alexandria Esler Regional Apt,AEX,-06:00,America/Chicago
ESG,Mariscal Estigarribia Luis Maria Argana,ESG,-04:00,America/Asuncion
ESH,Shoreham-By-Sea,ESH,+00:00,Europe/London
ESI,Espinosa,ESI,-03:00,America/Araguaina
ESK,Eskisehir,ESK,+03:00,Europe/Istanbul
ESL,Elista,ESL,+03:00,Europe/Moscow
ESM,Esmeraldas C Concha Torres Intl,ESM,-05:00,America/Guayaquil
ESN,Easton Newnam Field,ESN,-05:00,America/New_York
ESO,Espanola Ohkay Owingeh,ESO,-07:00,America/Denver
ESP,East Stroudsburg Stroudsburg-Pocono,ESP,-05:00,America/New_York
ESR,El Salvador Ricardo Garcia Posada,ESR,-04:00,America/Santiago
ESS,Essen Muelheim,ESS,+01:00,Europe/Berlin
EST,Estherville Municipal,EST,-06:00,America/Chicago
ESU,Essaouira Mogador,ESU,+01:00,Africa/Casablanca
ESW,Easton,ESW,-08:00,America/Los_Angeles
ESZ,Essen Central Station,ESS,+01:00,Europe/Berlin
ETB,West Bend Municipal,ETB,-06:00,America/Chicago
ETD,Etadunna,ETD,+09:30,Australia/Adelaide
ETE,Metema Genda Wuha,ETE,+03:00,Africa/Addis_Ababa
ETH,Elat,ETH,+02:00,Asia/Jerusalem
ETL,Svetlaya,ETL,+10:00,Asia/Vladivostok
ETM,Eilat,ETH,+02:00,Asia/Jerusalem
ETN,Eastland Municipal,ETN,-06:00,America/Chicago
ETR,Santa Rosa Intl,ETR,-05:00,America/Guayaquil
ETS,Enterprise Municipal,ETS,-06:00,America/Chicago
ETZ,Metz/Nancy Lorraine,ETZ,+01:00,Europe/Paris
EUA,Eua Kaufana,EUA,+13:00,Pacific/Tongatapu
EUC,Eucla,EUC,+08:00,Australia/Perth
EUE,Eureka,EUE,-08:00,America/Los_Angeles
EUF,Eufaula Weedon Field,EUF,-06:00,America/Chicago
EUG,Eugene,EUG,-08:00,America/Los_Angeles
EUM,Neumunster,EUM,+01:00,Europe/Berlin
EUN,Laayoune Hassan,EUN,+01:00,Africa/Casablanca
EUO,Paratebueno,EUO,-05:00,America/Bogota
EUQ,Antique Evelio Javier,EUQ,+08:00,Asia/Manila
EUX,St Eustatius F.D. Roosevelt,EUX,-04:00,America/Kralendijk
EVA,Evadale Ben Bruce Mem. Airpark,EVA,-06:00,America/Chicago
EVD,Eva Downs,EVD,+09:30,Australia/Darwin
EVE,Harstad-Narvik,EVE,+01:00,Europe/Oslo
EVG,Sveg,EVG,+01:00,Europe/Stockholm
EVH,Evans Head,EVH,+10:00,Australia/Sydney
EVI,Sevilla Bus Station,SVQ,+01:00,Europe/Madrid
EVM,Eveleth-Virginia Municipal,EVM,-06:00,America/Chicago
EVN,Yerevan,EVN,+04:00,Asia/Yerevan
EVO,Estepona Bus Station,EVO,+01:00,Europe/Madrid
EVV,Evansville,EVV,-06:00,America/Chicago
EVW,Evanston Uinta County,EVW,-07:00,America/Denver
EVX,Evreux Fauville,EVX,+01:00,Europe/Paris
EWB,New Bedford,EWB,-05:00,America/New_York
EWD,Wildman Lake,EWD,-09:00,America/Anchorage
EWE,Ewer,EWE,+09:00,Asia/Jayapura
EWI,Enarotali,EWI,+09:00,Asia/Jayapura
EWK,Newton City-County,EWK,-06:00,America/Chicago
EWN,New Bern,EWN,-05:00,America/New_York
EWO,Ewo,EWO,+01:00,Africa/Brazzaville
EWR,New York Newark,NYC,-05:00,America/New_York
EWS,Ede Wageningen Rail Stn,EWS,+01:00,Europe/Amsterdam
EWV,Enshi Rail Station,ENH,+08:00,Asia/Shanghai
EWY,Newbury Greenham Royal Air Force,EWY,+00:00,Europe/London
EXA,Merida Bus Station,QWX,+01:00,Europe/Madrid
EXC,Caceres Bus Station,QUQ,+01:00,Europe/Madrid
EXI,Excursion Inlet,EXI,-09:00,America/Anchorage
EXM,Exmouth,EXM,+08:00,Australia/Perth
EXS,Exeter St. Thomas Rail Stn,EXT,+00:00,Europe/London
EXT,Exeter International,EXT,+00:00,Europe/London
EYK,Beloyarsky,EYK,+05:00,Asia/Yekaterinburg
EYL,Yelimane,EYL,+00:00,Africa/Bamako
EYP,Yopal El Alcaravan,EYP,-05:00,America/Bogota
EYR,Yerington Municipal,EYR,-08:00,America/Los_Angeles
EYS,Eliye Springs,EYS,+03:00,Africa/Nairobi
EYW,Key West,EYW,-05:00,America/New_York
EZE,Buenos Aires,BUE,-03:00,America/Argentina/Buenos_Aires
EZS,Elazig,EZS,+03:00,Europe/Istanbul
EZV,Berezovo,EZV,+05:00,Asia/Yekaterinburg
FAA,Faranah Badala,FAA,+00:00,Africa/Conakry
FAB,Farnborough,FAB,+00:00,Europe/London
FAC,Faaite,FAC,-10:00,Pacific/Tahiti
FAE,Faroe Islands,FAE,+00:00,Atlantic/Faroe
FAF,Fort Eustis Felker Aaf.,FAF,-05:00,America/New_York
FAG,Fagurholsmyri,FAG,+00:00,Atlantic/Reykjavik
FAH,Farah,FAH,+04:30,Asia/Kabul
FAI,Fairbanks,FAI,-09:00,America/Anchorage
FAJ,Fajardo Diego Jimenez Torres,FAJ,-04:00,America/Puerto_Rico
FAK,False Island Sea Plane Base,FAK,-09:00,America/Anchorage
FAL,Roma Falcon State,FAL,-06:00,America/Chicago
FAM,Farmington Municipal,FAM,-06:00,America/Chicago
FAN,Farsund Lista,FAN,+01:00,Europe/Oslo
FAO,Faro,FAO,+00:00,Europe/Lisbon
FAQ,Freida River,FAQ,+10:00,Pacific/Port_Moresby
FAR,Fargo,FAR,-06:00,America/Chicago
FAS,Faskrudsfjordur,FAS,+00:00,Atlantic/Reykjavik
FAT,Fresno Yosemite,FAT,-08:00,America/Los_Angeles
FAU,Fahud,FAU,+04:00,Asia/Muscat
FAV,Fakarava,FAV,-10:00,Pacific/Tahiti
FAY,Fayetteville,FAY,-05:00,America/New_York
FAZ,Fasa,FAZ,+03:30,Asia/Tehran
FBA,Fonte Boa,FBA,-04:00,America/Porto_Velho
FBD,Faizabad,FBD,+04:30,Asia/Kabul
FBE,Francisco Beltrao Paulo Abdala,FBE,-03:00,America/Araguaina
FBG,Fort Bragg Simmons Aaf,FBG,-05:00,America/New_York
FBK,Fairbanks Ladd Aaf,FAI,-09:00,America/Anchorage
FBL,Faribault,FBL,-06:00,America/Chicago
FBM,Lubumbashi,FBM,+02:00,Africa/Lubumbashi
FBR,Fort Bridger,FBR,-07:00,America/Denver
FBS,Friday Harbor Spb,FRD,-08:00,America/Los_Angeles
FBY,Fairbury Municipal,FBY,-06:00,America/Chicago
FCA,Kalispell,FCA,-07:00,America/Denver
FCB,Ficksburg,FCB,+02:00,Africa/Johannesburg
FCH,Fresno Chandler Executive Apt,FAT,-08:00,America/Los_Angeles
FCM,Minneapolis/St Paul Flying Cloud Apt,MSP,-06:00,America/Chicago
FCN,Cuxhaven Nordholz,FCN,+01:00,Europe/Berlin
FCO,Rome,ROM,+01:00,Europe/Rome
FCS,Colorado Fort Carson/Butts Aaf,COS,-07:00,America/Denver
FCT,Yakima Vagabond Ahp,YKM,-08:00,America/Los_Angeles
FCY,Forrest City Municipal,FCY,-06:00,America/Chicago
FDD,San Sebastian Bus Station,EAS,+01:00,Europe/Madrid
FDE,Forde,FDE,+01:00,Europe/Oslo
FDF,Fort De France,FDF,-04:00,America/Martinique
FDH,Friedrichshafen,FDH,+01:00,Europe/Berlin
FDK,Frederick,FDK,-05:00,America/New_York
FDR,Frederick Regional,FDR,-06:00,America/Chicago
FDU,Bandundu,FDU,+01:00,Africa/Kinshasa
FDY,Findlay,FDY,-05:00,America/New_York
FEA,Fetlar,FEA,+00:00,Europe/London
FEB,Sanfebagar,FEB,+05:45,Asia/Kathmandu
FEC,Feira De Santana Joao Durval Carneiro,FEC,-03:00,America/Araguaina
FEG,Fergana,FEG,+05:00,Asia/Tashkent
FEJ,Feijo,FEJ,-05:00,America/Rio_Branco
FEK,Ferkessedougou,FEK,+00:00,Africa/Abidjan
FEL,Furstenfeldbruck,FEL,+01:00,Europe/Berlin
FEN,Fernando De Noronha,FEN,-02:00,America/Noronha
FEP,Freeport Albertus,FEP,-06:00,America/Chicago
FER,Fergusons Gulf,FER,+03:00,Africa/Nairobi
FES,San Fernando Rail Station San Fernando,FES,+01:00,Europe/Madrid
FET,Fremont Municipal,FET,-06:00,America/Chicago
FEW,Cheyenne Warren Afb H/P,CYS,-07:00,America/Denver
FEZ,Fes Saiss,FEZ,+01:00,Africa/Casablanca
FFA,Kill Devil First Flight,FFA,-05:00,America/New_York
FFD,Raf Fairford,FFD,+00:00,Europe/London
FFF,Fuxin Rail Station,FFF,+08:00,Asia/Shanghai
FFL,Fairfield Municipal,FFL,-06:00,America/Chicago
FFM,Fergus Falls Municipal,FFM,-06:00,America/Chicago
