departure,dep_iata,dep_scheduled,dep_actual,terminal_gate,arrival,arr_iata,arr_scheduled,dep_actual,terminal_gate,carrier_code,carrier,flight,status
Barcelona (ES),BCN,09:55,10:16,1/B40,Frankfurt,FRA,12:10,12:08,1/B09,LH,Lufthansa,LH1125,Flight Landed
Barcelona (ES),BCN,10:05,10:16,1/B52,Vienna,VIE,12:20,12:20,,OS,Austrian,OS392,Flight Landed
Barcelona (ES),BCN,11:50,11:54,1/B40,Munich,MUC,13:50,13:44,2/K14,LH,Lufthansa,LH1811,Flight Landed
Munich,MUC,06:25,06:20,2/K09,Barcelona (ES),BCN,08:25,08:30,,LH,Lufthansa,LH1808,Flight Landed
Stuttgart,STR,06:40,06:34,1/314,Barcelona (ES),BCN,08:35,08:25,,EW,Eurowings,EW2528,Flight Landed
Zurich,ZRH,07:10,07:13,,Barcelona (ES),BCN,08:50,09:06,,BT,Airbaltic,BT1952,Flight Landed
Dusseldorf,DUS,06:50,06:43,,Barcelona (ES),BCN,09:00,09:06,,BT,Airbaltic,BT9440,Flight Landed
Frankfurt,FRA,07:10,07:20,1/B10,Barcelona (ES),BCN,09:10,09:15,,LH,Lufthansa,LH1124,Flight Landed
Vienna,VIE,07:00,07:07,3/F21,Barcelona (ES),BCN,09:20,09:24,,OS,Austrian,OS391,Flight Landed
Munich,MUC,09:00,09:01,2/G46,Barcelona (ES),BCN,11:00,11:04,,LH,Lufthansa,LH1810,Flight Landed
Frankfurt,FRA,09:50,10:09,1/A21,Barcelona (ES),BCN,11:50,12:03,,LH,Lufthansa,LH1126,Flight Landed
Geneva,GVA,08:15,08:15,,Brussels,BRU,09:35,09:24,,SN,Brussels Airlines,SN2712,Flight On Time
Geneva,GVA,08:50,08:57,,Frankfurt,FRA,10:05,09:59,1/Area A,CL,Lufthansa Cityline,CL1213,Flight Landed
Geneva,GVA,09:00,08:56,,Dusseldorf,DUS,10:25,10:09,,EW,Eurowings,EW9743,Flight Landed
Geneva,GVA,09:15,09:16,,Munich,MUC,10:30,10:19,2/T02S,CL,Lufthansa Cityline,CL2383,Flight Landed
Geneva,GVA,09:35,09:32,,Vienna,VIE,11:10,11:02,,OS,Austrian,OS572,Flight Landed
Geneva,GVA,10:15,10:17,,Zurich,ZRH,11:10,11:11,,LX,SWISS,LX2807,Flight Landed
